GROUP_NAME,TEAM_ABBREVIATION,MIN,OFF_RATING,DEF_RATING,NET_RATING,SeasonYear,PG,SG,SF,PF,C,PG_Defensive_Handoff,PG_Defensive_OffScreen,PG_Defensive_PRBallHandler,PG_Defensive_PRRollMan,PG_Defensive_Postup,PG_Defensive_Spotup,PG_Offensive_Cut,PG_Offensive_Handoff,PG_Offensive_Misc,PG_Offensive_OffScreen,PG_Offensive_PRBallHandler,PG_Offensive_PRRollMan,PG_Offensive_Postup,PG_Offensive_Spotup,SG_Defensive_Handoff,SG_Defensive_OffScreen,SG_Defensive_PRBallHandler,SG_Defensive_PRRollMan,SG_Defensive_Postup,SG_Defensive_Spotup,SG_Offensive_Cut,SG_Offensive_Handoff,SG_Offensive_Misc,SG_Offensive_OffScreen,SG_Offensive_PRBallHandler,SG_Offensive_PRRollMan,SG_Offensive_Postup,SG_Offensive_Spotup,SF_Defensive_Handoff,SF_Defensive_OffScreen,SF_Defensive_PRBallHandler,SF_Defensive_PRRollMan,SF_Defensive_Postup,SF_Defensive_Spotup,SF_Offensive_Cut,SF_Offensive_Handoff,SF_Offensive_Misc,SF_Offensive_OffScreen,SF_Offensive_PRBallHandler,SF_Offensive_PRRollMan,SF_Offensive_Postup,SF_Offensive_Spotup,PF_Defensive_Handoff,PF_Defensive_OffScreen,PF_Defensive_PRBallHandler,PF_Defensive_PRRollMan,PF_Defensive_Postup,PF_Defensive_Spotup,PF_Offensive_Cut,PF_Offensive_Handoff,PF_Offensive_Misc,PF_Offensive_OffScreen,PF_Offensive_PRBallHandler,PF_Offensive_PRRollMan,PF_Offensive_Postup,PF_Offensive_Spotup,C_Defensive_Handoff,C_Defensive_OffScreen,C_Defensive_PRBallHandler,C_Defensive_PRRollMan,C_Defensive_Postup,C_Defensive_Spotup,C_Offensive_Cut,C_Offensive_Handoff,C_Offensive_Misc,C_Offensive_OffScreen,C_Offensive_PRBallHandler,C_Offensive_PRRollMan,C_Offensive_Postup,C_Offensive_Spotup,MIN_bin
L. James - M. Williams - K. Love - T. Thompson - M. Dellavedova,CLE,40,124.4,66.7,57.7,2015-16,M. Dellavedova,M. Williams,L. James,K. Love,T. Thompson,0.699,0.905,0.643,0.0,0.635,0.597,0.977,0.47,0.37,0.643,0.286,0.0,0.0,0.956,0.826,0.482,0.732,0.514,0.3,0.415,0.458,0.957,0.785,0.506,0.654,0.795,0.973,0.869,0.971,0.845,0.876,0.837,0.727,0.87,0.791,0.962,0.495,0.5,0.786,0.954,0.677,0.643,0.0,0.645,0.399,0.342,0.5,0.208,0.192,0.289,0.325,0.699,0.0,0.374,0.83,0.772,0.0,0.202,0.944,0.342,0.431,0.68,0.333,0.0,0.754,0.0,0.0,0.913,0.462,0.778,"(33.0, 43.0]"
L. James - J. Smith - K. Love - K. Irving - M. Dellavedova,CLE,39,124.2,98.7,25.5,2015-16,K. Irving,M. Dellavedova,J. Smith,L. James,K. Love,0.768,0.661,0.413,0.0,0.949,0.087,0.923,0.246,0.92,0.679,0.803,0.0,0.425,0.556,0.699,0.905,0.643,0.0,0.635,0.597,0.977,0.47,0.37,0.643,0.286,0.0,0.0,0.956,0.377,0.132,0.236,0.342,0.026,0.649,0.085,0.886,0.612,0.809,0.276,0.0,0.045,0.932,0.971,0.845,0.876,0.837,0.727,0.87,0.791,0.962,0.495,0.5,0.786,0.954,0.677,0.643,0.0,0.645,0.399,0.342,0.5,0.208,0.192,0.289,0.325,0.699,0.0,0.374,0.83,0.772,"(33.0, 43.0]"
L. James - M. Williams - J. Smith - K. Love - T. Thompson,CLE,38,108.9,105.1,3.8,2015-16,M. Williams,J. Smith,L. James,K. Love,T. Thompson,0.826,0.482,0.732,0.514,0.3,0.415,0.458,0.957,0.785,0.506,0.654,0.795,0.973,0.869,0.377,0.132,0.236,0.342,0.026,0.649,0.085,0.886,0.612,0.809,0.276,0.0,0.045,0.932,0.971,0.845,0.876,0.837,0.727,0.87,0.791,0.962,0.495,0.5,0.786,0.954,0.677,0.643,0.0,0.645,0.399,0.342,0.5,0.208,0.192,0.289,0.325,0.699,0.0,0.374,0.83,0.772,0.0,0.202,0.944,0.342,0.431,0.68,0.333,0.0,0.754,0.0,0.0,0.913,0.462,0.778,"(33.0, 43.0]"
R. Jefferson - L. James - M. Williams - K. Love - T. Mozgov,CLE,38,89.7,130.1,-40.4,2015-16,M. Williams,R. Jefferson,L. James,K. Love,T. Mozgov,0.826,0.482,0.732,0.514,0.3,0.415,0.458,0.957,0.785,0.506,0.654,0.795,0.973,0.869,0.245,0.087,0.315,0.079,0.747,0.349,0.949,0.797,0.193,0.463,0.903,0.0,0.0,0.741,0.971,0.845,0.876,0.837,0.727,0.87,0.791,0.962,0.495,0.5,0.786,0.954,0.677,0.643,0.0,0.645,0.399,0.342,0.5,0.208,0.192,0.289,0.325,0.699,0.0,0.374,0.83,0.772,0.0,0.0,0.0,0.763,0.704,0.879,0.689,0.0,0.019,0.0,0.0,0.877,0.323,0.042,"(33.0, 43.0]"
L. James - J. Smith - K. Irving - T. Thompson - I. Shumpert,CLE,36,108.2,116.7,-8.4,2015-16,K. Irving,J. Smith,I. Shumpert,L. James,T. Thompson,0.768,0.661,0.413,0.0,0.949,0.087,0.923,0.246,0.92,0.679,0.803,0.0,0.425,0.556,0.377,0.132,0.236,0.342,0.026,0.649,0.085,0.886,0.612,0.809,0.276,0.0,0.045,0.932,0.043,0.53,0.563,0.0,0.385,0.252,0.0,0.038,0.239,0.38,0.421,0.0,0.0,0.31,0.971,0.845,0.876,0.837,0.727,0.87,0.791,0.962,0.495,0.5,0.786,0.954,0.677,0.643,0.0,0.202,0.944,0.342,0.431,0.68,0.333,0.0,0.754,0.0,0.0,0.913,0.462,0.778,"(33.0, 43.0]"
L. James - C. Frye - T. Thompson - I. Shumpert - M. Dellavedova,CLE,35,118.2,71.1,47.1,2015-16,M. Dellavedova,I. Shumpert,L. James,C. Frye,T. Thompson,0.699,0.905,0.643,0.0,0.635,0.597,0.977,0.47,0.37,0.643,0.286,0.0,0.0,0.956,0.043,0.53,0.563,0.0,0.385,0.252,0.0,0.038,0.239,0.38,0.421,0.0,0.0,0.31,0.971,0.845,0.876,0.837,0.727,0.87,0.791,0.962,0.495,0.5,0.786,0.954,0.677,0.643,0.0,0.2815,0.0,0.7545,0.8434999999999999,0.6325,0.4985,0.0,0.2905,0.0305,0.0,0.8214999999999999,0.7344999999999999,0.825,0.0,0.202,0.944,0.342,0.431,0.68,0.333,0.0,0.754,0.0,0.0,0.913,0.462,0.778,"(33.0, 43.0]"
L. James - J. Smith - K. Love - I. Shumpert - M. Dellavedova,CLE,29,130.2,80.3,49.8,2015-16,M. Dellavedova,J. Smith,I. Shumpert,L. James,K. Love,0.699,0.905,0.643,0.0,0.635,0.597,0.977,0.47,0.37,0.643,0.286,0.0,0.0,0.956,0.377,0.132,0.236,0.342,0.026,0.649,0.085,0.886,0.612,0.809,0.276,0.0,0.045,0.932,0.043,0.53,0.563,0.0,0.385,0.252,0.0,0.038,0.239,0.38,0.421,0.0,0.0,0.31,0.971,0.845,0.876,0.837,0.727,0.87,0.791,0.962,0.495,0.5,0.786,0.954,0.677,0.643,0.0,0.645,0.399,0.342,0.5,0.208,0.192,0.289,0.325,0.699,0.0,0.374,0.83,0.772,"(26.0, 33.0]"
L. James - K. Love - T. Mozgov - K. Irving - I. Shumpert,CLE,28,103.6,101.8,1.8,2015-16,K. Irving,I. Shumpert,L. James,K. Love,T. Mozgov,0.768,0.661,0.413,0.0,0.949,0.087,0.923,0.246,0.92,0.679,0.803,0.0,0.425,0.556,0.043,0.53,0.563,0.0,0.385,0.252,0.0,0.038,0.239,0.38,0.421,0.0,0.0,0.31,0.971,0.845,0.876,0.837,0.727,0.87,0.791,0.962,0.495,0.5,0.786,0.954,0.677,0.643,0.0,0.645,0.399,0.342,0.5,0.208,0.192,0.289,0.325,0.699,0.0,0.374,0.83,0.772,0.0,0.0,0.0,0.763,0.704,0.879,0.689,0.0,0.019,0.0,0.0,0.877,0.323,0.042,"(26.0, 33.0]"
R. Jefferson - L. James - T. Thompson - I. Shumpert - M. Dellavedova,CLE,28,118.2,101.7,16.5,2015-16,M. Dellavedova,I. Shumpert,L. James,R. Jefferson,T. Thompson,0.699,0.905,0.643,0.0,0.635,0.597,0.977,0.47,0.37,0.643,0.286,0.0,0.0,0.956,0.043,0.53,0.563,0.0,0.385,0.252,0.0,0.038,0.239,0.38,0.421,0.0,0.0,0.31,0.971,0.845,0.876,0.837,0.727,0.87,0.791,0.962,0.495,0.5,0.786,0.954,0.677,0.643,0.245,0.087,0.315,0.079,0.747,0.349,0.949,0.797,0.193,0.463,0.903,0.0,0.0,0.741,0.0,0.202,0.944,0.342,0.431,0.68,0.333,0.0,0.754,0.0,0.0,0.913,0.462,0.778,"(26.0, 33.0]"
L. James - J. Smith - T. Mozgov - K. Irving - T. Thompson,CLE,27,107.8,107.5,0.3,2015-16,K. Irving,J. Smith,L. James,T. Thompson,T. Mozgov,0.768,0.661,0.413,0.0,0.949,0.087,0.923,0.246,0.92,0.679,0.803,0.0,0.425,0.556,0.377,0.132,0.236,0.342,0.026,0.649,0.085,0.886,0.612,0.809,0.276,0.0,0.045,0.932,0.971,0.845,0.876,0.837,0.727,0.87,0.791,0.962,0.495,0.5,0.786,0.954,0.677,0.643,0.0,0.202,0.944,0.342,0.431,0.68,0.333,0.0,0.754,0.0,0.0,0.913,0.462,0.778,0.0,0.0,0.0,0.763,0.704,0.879,0.689,0.0,0.019,0.0,0.0,0.877,0.323,0.042,"(26.0, 33.0]"
L. James - M. Williams - K. Love - T. Mozgov - M. Dellavedova,CLE,27,109.3,108.9,0.3,2015-16,M. Dellavedova,M. Williams,L. James,K. Love,T. Mozgov,0.699,0.905,0.643,0.0,0.635,0.597,0.977,0.47,0.37,0.643,0.286,0.0,0.0,0.956,0.826,0.482,0.732,0.514,0.3,0.415,0.458,0.957,0.785,0.506,0.654,0.795,0.973,0.869,0.971,0.845,0.876,0.837,0.727,0.87,0.791,0.962,0.495,0.5,0.786,0.954,0.677,0.643,0.0,0.645,0.399,0.342,0.5,0.208,0.192,0.289,0.325,0.699,0.0,0.374,0.83,0.772,0.0,0.0,0.0,0.763,0.704,0.879,0.689,0.0,0.019,0.0,0.0,0.877,0.323,0.042,"(26.0, 33.0]"
L. James - J. Smith - K. Love - T. Thompson - J. Cunningham,CLE,26,107.8,96.6,11.3,2015-16,J. Cunningham,J. Smith,L. James,K. Love,T. Thompson,0.0,0.0,0.0,0.0,0.0,0.987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.377,0.132,0.236,0.342,0.026,0.649,0.085,0.886,0.612,0.809,0.276,0.0,0.045,0.932,0.971,0.845,0.876,0.837,0.727,0.87,0.791,0.962,0.495,0.5,0.786,0.954,0.677,0.643,0.0,0.645,0.399,0.342,0.5,0.208,0.192,0.289,0.325,0.699,0.0,0.374,0.83,0.772,0.0,0.202,0.944,0.342,0.431,0.68,0.333,0.0,0.754,0.0,0.0,0.913,0.462,0.778,"(23.0, 26.0]"
R. Jefferson - L. James - J. Jones - T. Thompson - M. Dellavedova,CLE,26,103.8,92.6,11.3,2015-16,M. Dellavedova,J. Jones,L. James,R. Jefferson,T. Thompson,0.699,0.905,0.643,0.0,0.635,0.597,0.977,0.47,0.37,0.643,0.286,0.0,0.0,0.956,,,,,,,,,,,,,,,0.971,0.845,0.876,0.837,0.727,0.87,0.791,0.962,0.495,0.5,0.786,0.954,0.677,0.643,0.245,0.087,0.315,0.079,0.747,0.349,0.949,0.797,0.193,0.463,0.903,0.0,0.0,0.741,0.0,0.202,0.944,0.342,0.431,0.68,0.333,0.0,0.754,0.0,0.0,0.913,0.462,0.778,"(23.0, 26.0]"
R. Jefferson - L. James - J. Smith - T. Thompson - M. Dellavedova,CLE,25,94.4,100.0,-5.6,2015-16,M. Dellavedova,J. Smith,L. James,R. Jefferson,T. Thompson,0.699,0.905,0.643,0.0,0.635,0.597,0.977,0.47,0.37,0.643,0.286,0.0,0.0,0.956,0.377,0.132,0.236,0.342,0.026,0.649,0.085,0.886,0.612,0.809,0.276,0.0,0.045,0.932,0.971,0.845,0.876,0.837,0.727,0.87,0.791,0.962,0.495,0.5,0.786,0.954,0.677,0.643,0.245,0.087,0.315,0.079,0.747,0.349,0.949,0.797,0.193,0.463,0.903,0.0,0.0,0.741,0.0,0.202,0.944,0.342,0.431,0.68,0.333,0.0,0.754,0.0,0.0,0.913,0.462,0.778,"(23.0, 26.0]"
L. James - J. Smith - C. Frye - K. Irving - T. Thompson,CLE,24,145.1,112.0,33.1,2015-16,K. Irving,J. Smith,L. James,C. Frye,T. Thompson,0.768,0.661,0.413,0.0,0.949,0.087,0.923,0.246,0.92,0.679,0.803,0.0,0.425,0.556,0.377,0.132,0.236,0.342,0.026,0.649,0.085,0.886,0.612,0.809,0.276,0.0,0.045,0.932,0.971,0.845,0.876,0.837,0.727,0.87,0.791,0.962,0.495,0.5,0.786,0.954,0.677,0.643,0.0,0.2815,0.0,0.7545,0.8434999999999999,0.6325,0.4985,0.0,0.2905,0.0305,0.0,0.8214999999999999,0.7344999999999999,0.825,0.0,0.202,0.944,0.342,0.431,0.68,0.333,0.0,0.754,0.0,0.0,0.913,0.462,0.778,"(23.0, 26.0]"
L. James - J. Smith - T. Mozgov - T. Thompson - M. Dellavedova,CLE,23,114.3,98.0,16.3,2015-16,M. Dellavedova,J. Smith,L. James,T. Thompson,T. Mozgov,0.699,0.905,0.643,0.0,0.635,0.597,0.977,0.47,0.37,0.643,0.286,0.0,0.0,0.956,0.377,0.132,0.236,0.342,0.026,0.649,0.085,0.886,0.612,0.809,0.276,0.0,0.045,0.932,0.971,0.845,0.876,0.837,0.727,0.87,0.791,0.962,0.495,0.5,0.786,0.954,0.677,0.643,0.0,0.202,0.944,0.342,0.431,0.68,0.333,0.0,0.754,0.0,0.0,0.913,0.462,0.778,0.0,0.0,0.0,0.763,0.704,0.879,0.689,0.0,0.019,0.0,0.0,0.877,0.323,0.042,"(19.0, 23.0]"
L. James - J. Smith - T. Mozgov - K. Irving - I. Shumpert,CLE,22,93.9,91.3,2.6,2015-16,K. Irving,J. Smith,I. Shumpert,L. James,T. Mozgov,0.768,0.661,0.413,0.0,0.949,0.087,0.923,0.246,0.92,0.679,0.803,0.0,0.425,0.556,0.377,0.132,0.236,0.342,0.026,0.649,0.085,0.886,0.612,0.809,0.276,0.0,0.045,0.932,0.043,0.53,0.563,0.0,0.385,0.252,0.0,0.038,0.239,0.38,0.421,0.0,0.0,0.31,0.971,0.845,0.876,0.837,0.727,0.87,0.791,0.962,0.495,0.5,0.786,0.954,0.677,0.643,0.0,0.0,0.0,0.763,0.704,0.879,0.689,0.0,0.019,0.0,0.0,0.877,0.323,0.042,"(19.0, 23.0]"
R. Jefferson - L. James - M. Williams - K. Love - T. Thompson,CLE,20,100.0,95.3,4.7,2015-16,M. Williams,R. Jefferson,L. James,K. Love,T. Thompson,0.826,0.482,0.732,0.514,0.3,0.415,0.458,0.957,0.785,0.506,0.654,0.795,0.973,0.869,0.245,0.087,0.315,0.079,0.747,0.349,0.949,0.797,0.193,0.463,0.903,0.0,0.0,0.741,0.971,0.845,0.876,0.837,0.727,0.87,0.791,0.962,0.495,0.5,0.786,0.954,0.677,0.643,0.0,0.645,0.399,0.342,0.5,0.208,0.192,0.289,0.325,0.699,0.0,0.374,0.83,0.772,0.0,0.202,0.944,0.342,0.431,0.68,0.333,0.0,0.754,0.0,0.0,0.913,0.462,0.778,"(19.0, 23.0]"
L. James - J. Smith - C. Frye - T. Mozgov - K. Irving,CLE,19,125.0,86.1,38.9,2015-16,K. Irving,J. Smith,L. James,C. Frye,T. Mozgov,0.768,0.661,0.413,0.0,0.949,0.087,0.923,0.246,0.92,0.679,0.803,0.0,0.425,0.556,0.377,0.132,0.236,0.342,0.026,0.649,0.085,0.886,0.612,0.809,0.276,0.0,0.045,0.932,0.971,0.845,0.876,0.837,0.727,0.87,0.791,0.962,0.495,0.5,0.786,0.954,0.677,0.643,0.0,0.2815,0.0,0.7545,0.8434999999999999,0.6325,0.4985,0.0,0.2905,0.0305,0.0,0.8214999999999999,0.7344999999999999,0.825,0.0,0.0,0.0,0.763,0.704,0.879,0.689,0.0,0.019,0.0,0.0,0.877,0.323,0.042,"(16.0, 19.0]"
L. James - K. Love - T. Mozgov - I. Shumpert - M. Dellavedova,CLE,19,95.1,72.7,22.4,2015-16,M. Dellavedova,I. Shumpert,L. James,K. Love,T. Mozgov,0.699,0.905,0.643,0.0,0.635,0.597,0.977,0.47,0.37,0.643,0.286,0.0,0.0,0.956,0.043,0.53,0.563,0.0,0.385,0.252,0.0,0.038,0.239,0.38,0.421,0.0,0.0,0.31,0.971,0.845,0.876,0.837,0.727,0.87,0.791,0.962,0.495,0.5,0.786,0.954,0.677,0.643,0.0,0.645,0.399,0.342,0.5,0.208,0.192,0.289,0.325,0.699,0.0,0.374,0.83,0.772,0.0,0.0,0.0,0.763,0.704,0.879,0.689,0.0,0.019,0.0,0.0,0.877,0.323,0.042,"(16.0, 19.0]"
L. James - J. Smith - A. Varejao - K. Irving - T. Thompson,CLE,18,121.1,100.0,21.1,2015-16,K. Irving,J. Smith,L. James,T. Thompson,A. Varejao,0.768,0.661,0.413,0.0,0.949,0.087,0.923,0.246,0.92,0.679,0.803,0.0,0.425,0.556,0.377,0.132,0.236,0.342,0.026,0.649,0.085,0.886,0.612,0.809,0.276,0.0,0.045,0.932,0.971,0.845,0.876,0.837,0.727,0.87,0.791,0.962,0.495,0.5,0.786,0.954,0.677,0.643,0.0,0.202,0.944,0.342,0.431,0.68,0.333,0.0,0.754,0.0,0.0,0.913,0.462,0.778,0.0,0.0,0.0,0.0,0.812,0.989,0.339,0.0,0.716,0.0,0.0,0.251,0.0,0.147,"(16.0, 19.0]"
